,0
456,6952.32
457,6451.1
458,6152.19
459,6122.5
460,6358.0
461,6840.77
462,7149.12
463,7374.26
464,7152.5
465,6981.31
466,6899.43
467,6823.46
468,6923.73
469,7171.91
470,7451.27
471,7886.58
472,8417.53
473,9016.55
474,9042.63
475,8817.02
476,8511.28
477,8094.65
478,7898.29
479,7480.66
480,7194.56
481,6654.84
482,6279.3
483,6257.99
484,6432.56
485,6983.28
486,7378.15
487,7595.41
488,7653.24
489,7511.24
490,7638.92
491,7967.66
492,8436.33
493,9087.89
494,9804.61
495,10488.91
496,10734.16
497,10934.61
498,10686.25
499,10209.63
500,9762.84
501,9189.69
502,8650.44
503,8029.89
504,7617.88
505,6986.8
506,6530.19
507,6400.65
508,6471.7
509,6663.79
510,6875.12
511,7203.93
512,7527.32
513,7620.6
514,7859.71
515,8221.59
516,8532.93
517,8923.39
518,9405.74
519,10010.06
520,10435.78
521,10640.9
522,10655.34
523,10171.6
524,9811.92
525,9141.79
526,8675.09
527,8015.85
528,7505.65
529,6981.79
530,6653.7
531,6510.51
532,6491.98
533,6575.21
534,6391.54
535,6971.89
536,7406.55
537,7815.2
538,8413.29
539,8899.09
540,9413.32
541,9821.85
542,10252.19
543,10846.84
544,11458.48
545,11440.56
546,10998.12
547,10477.51
548,9924.23
549,9279.28
550,8641.25
551,7958.28
552,7555.72
553,7068.88
554,6782.75
555,6683.32
556,6898.9
557,7363.73
558,7873.86
559,8456.77
560,8755.65
561,9047.2
562,9378.88
563,9855.44
564,10412.17
565,10817.67
566,11285.7
567,11698.74
568,12034.19
569,12155.83
570,11694.5
571,10994.31
572,10428.73
573,9672.4
574,9061.21
575,8329.93
576,7790.3
577,7161.85
578,6708.15
579,6558.7
580,6557.04
581,6757.13
582,6888.36
583,7246.0
584,7791.44
585,8330.22
586,8881.28
587,9436.14
588,9871.84
589,10414.34
590,10965.3
591,11403.09
592,11895.21
593,11927.16
594,11750.54
595,11412.45
596,10869.61
597,9985.9
598,9218.72
599,8543.62
600,8049.78
601,7440.95
602,7052.62
603,6965.84
604,7086.91
605,7667.42
606,8272.48
607,8865.57
608,8959.25
609,8910.26
610,8775.76
611,8655.82
612,8680.25
613,8632.83
614,8712.68
615,8779.75
616,8868.05
617,9013.7
618,8751.31
619,8460.58
620,8128.78
621,7762.37
622,7567.46
623,7275.31
624,7002.76
625,6521.14
626,6173.75
627,6143.44
628,6379.93
629,6951.27
630,7583.82
631,8001.39
632,8140.7
633,8089.21
634,8031.15
635,7832.62
636,7952.73
637,7920.93
638,8011.62
639,8135.06
640,8323.34
641,8520.37
642,8395.88
643,8255.4
644,7948.14
645,7616.41
646,7470.54
647,7193.94
648,6913.08
649,6452.42
650,6174.64
651,6179.33
652,6379.98
653,6900.47
