,0
799,13
800,0
801,0
802,0
803,0
804,0
805,0
806,6
807,36
808,77
809,76
810,52
811,9
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,7
820,9
821,8
822,12
823,3
824,0
825,0
826,0
827,0
828,0
829,0
830,7
831,51
832,81
833,80
834,48
835,10
836,0
837,0
838,0
839,0
840,0
841,0
842,7
843,50
844,84
845,76
846,42
847,10
848,0
849,0
850,0
851,0
852,0
853,0
854,8
855,53
856,84
857,74
858,47
859,10
860,0
861,0
862,0
863,0
864,0
865,0
866,6
867,29
868,84
869,85
870,59
871,14
872,0
873,0
874,0
875,0
876,0
877,0
878,7
879,58
880,78
881,75
882,47
883,12
884,0
885,0
886,0
887,0
888,0
889,0
890,6
891,16
892,37
893,75
894,57
895,11
896,0
897,0
898,0
899,0
900,0
901,0
902,4
903,10
904,43
905,60
906,45
907,11
908,0
909,0
910,0
911,0
912,0
913,0
914,1
915,8
916,10
917,11
918,9
919,3
920,0
921,0
922,0
923,0
924,0
925,0
926,6
927,37
928,81
929,59
930,37
931,11
932,0
933,0
934,0
935,0
936,0
937,0
938,7
939,66
940,96
941,92
942,63
943,13
944,0
945,0
946,0
947,0
948,0
949,0
950,7
951,63
952,88
953,87
954,57
955,13
956,0
957,0
958,0
959,0
960,0
961,0
962,12
963,46
964,81
965,68
966,18
967,7
968,0
969,0
970,0
971,0
972,0
973,0
974,8
975,62
976,86
977,84
978,56
979,14
980,0
981,0
982,0
983,0
984,0
985,0
986,8
987,63
988,84
989,71
990,43
991,13
992,0
993,0
994,0
995,0
996,0
997,0
998,9
999,23
1000,37
1001,19
1002,8
1003,4
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,8
1011,38
1012,84
1013,50
1014,38
1015,14
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,11
1023,43
1024,78
1025,80
1026,40
1027,11
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,7
1035,39
1036,89
1037,89
1038,63
1039,15
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,10
1047,63
1048,85
1049,81
1050,50
1051,13
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,10
1059,61
1060,71
1061,82
1062,24
1063,5
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,8
1071,25
1072,34
1073,58
1074,53
1075,9
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,8
1083,14
1084,30
1085,18
1086,5
1087,1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,3
1095,9
1096,28
1097,13
1098,11
1099,4
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,12
1107,63
1108,91
1109,90
1110,64
1111,16
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,14
1119,59
1120,43
1121,88
1122,62
1123,15
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,13
1131,66
1132,85
1133,86
1134,60
1135,9
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,16
1143,66
1144,91
1145,85
1146,59
1147,15
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,15
1155,40
1156,23
1157,16
1158,15
1159,6
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,16
1167,69
1168,91
1169,86
1170,59
1171,16
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,16
1179,65
1180,87
1181,83
1182,57
1183,15
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,11
1191,12
1192,19
1193,17
1194,10
1195,1
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,8
1203,45
1204,48
1205,62
1206,63
1207,17
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,10
1215,60
1216,97
1217,93
1218,64
1219,16
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,18
1227,47
1228,74
1229,65
1230,38
1231,18
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,18
1239,36
1240,60
1241,51
1242,51
1243,11
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,18
1251,46
1252,50
1253,42
1254,23
1255,15
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,21
1263,67
1264,78
1265,92
1266,63
1267,17
1268,0
1269,0
1270,0
1271,0
1272,0
1273,1
1274,20
1275,73
1276,93
1277,89
1278,61
1279,16
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,20
1287,67
1288,86
1289,79
1290,53
1291,15
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,19
1299,64
1300,82
1301,77
1302,50
1303,13
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,10
1311,43
1312,84
1313,55
1314,45
1315,9
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,2
1323,14
1324,31
1325,39
1326,25
1327,8
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,18
1335,58
1336,74
1337,68
1338,34
1339,14
1340,0
1341,0
1342,0
1343,0
1344,0
1345,1
1346,17
1347,35
1348,79
1349,85
1350,59
1351,15
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,24
1359,59
1360,87
1361,81
1362,52
1363,14
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,23
1371,63
1372,77
1373,59
1374,17
1375,8
1376,0
1377,0
1378,0
1379,0
