,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
63,0,4,58,74,66,16,0,0,0,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0
64,4,58,74,66,16,0,0,0,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0
65,58,74,66,16,0,0,0,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3
66,74,66,16,0,0,0,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62
67,66,16,0,0,0,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82
68,16,0,0,0,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70
69,0,0,0,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19
70,0,0,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0
71,0,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0
72,0,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0
73,0,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0
74,0,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0
75,0,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0
76,3,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0
77,54,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4
78,83,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59
79,70,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80
80,20,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62
81,0,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7
82,0,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0
83,0,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0
84,0,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0
85,0,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0
86,0,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0
87,0,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0
88,3,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0
89,62,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3
90,82,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58
91,70,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78
92,19,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65
93,0,0,0,0,0,0,0,4,59,80,62,7,0,0,0,0,0,0,0,3,58,78,65,16
